S.NO	ID	PGPT_ID	BACTERIA	PATH_COUNT	Lv1	Lv2	Lv3	Lv4	Lv5
17	PGPT0000080	PGPT0000080-nifV-K02594	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
18	PGPT0000085	PGPT0000085-nifW-K02595	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
19	PGPT0000090	PGPT0000090-nifX|nifY|vnfX|vnfY-K02596	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
20	PGPT0000095	PGPT0000095-nifZ-K02597	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
21	PGPT0000100	PGPT0000100-anfG-K00531	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
22	PGPT0000101	PGPT0000101-anfO-NA	Kosakonia radicincitans DSM 16656 [PHYL|PSYMB|PSYMB],Azotobacter vinelandii CA	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
23	PGPT0000102	PGPT0000102-anfR-NA	Azotobacter vinelandii CA	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
24	PGPT0000103	PGPT0000103-anfU-NA	Azospirillum brasilense Sp245	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
25	PGPT0000105	PGPT0000105-vnfD-K22896	Azospirillum brasilense Sp245	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
26	PGPT0000106	PGPT0000106-vnfDG-NA	not_announced	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
27	PGPT0000110	PGPT0000110-vnfE-K22903	Azotobacter vinelandii DJ	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
28	PGPT0000111	PGPT0000111-vnfF-NA	Azotobacter vinelandii DJ	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
29	PGPT0000115	PGPT0000115-vnfG-K22898	Azotobacter vinelandii DJ,Azospirillum brasilense Sp245	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
30	PGPT0000120	PGPT0000120-vnfH-K22899	Azotobacter vinelandii DJ,Azospirillum brasilense Sp245	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
31	PGPT0000125	PGPT0000125-vnfK-K22897	Azotobacter vinelandii DJ,Azospirillum brasilense Sp245	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
32	PGPT0000130	PGPT0000130-nifL-K23916	Kosakonia radicincitans DSM 16656 [PHYL|PSYMB|PSYMB]	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT
33	PGPT0000135	PGPT0000135-ptsN-K02806	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS
34	PGPT0000140	PGPT0000140-fixL-K14986	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT
35	PGPT0000145	PGPT0000145-fixJ-K14987	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT
36	PGPT0000150	PGPT0000150-fixK-K15861	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS# PGPT
37	PGPT0001055	PGPT0001055-fixN|ccoN-K00404	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT
38	PGPT0000152	PGPT0000152-fixO|ccoO-K00405	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT
39	PGPT0000153	PGPT0000153-fixP|ccoP-K00406	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT
40	PGPT0000154	PGPT0000154-fixQ|ccoQ-K00407	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	CBB3-TYPE_CYTOCHROME_C_OXIDASE# PGPT
41	PGPT0000155	PGPT0000155-hyfA-K12136	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
42	PGPT0000160	PGPT0000160-hyfB-K12137	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
43	PGPT0000165	PGPT0000165-hyfC-K12138	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
44	PGPT0000170	PGPT0000170-hyfD-K12139	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
45	PGPT0000175	PGPT0000175-hyfE-K12140	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
46	PGPT0000180	PGPT0000180-hyfF-K12141	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
47	PGPT0000185	PGPT0000185-hyfG-K12142	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
48	PGPT0000190	PGPT0000190-hyfH-K12143	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
49	PGPT0000195	PGPT0000195-hyfI-K12144	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
50	PGPT0000200	PGPT0000200-hyfJ-K12145	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
51	PGPT0000205	PGPT0000205-hyfR-K12146	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
52	PGPT0000210	PGPT0000210-hupL|hyaB|hybC-K06281	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS# PGPT
53	PGPT0000215	PGPT0000215-hupS|hyaA|hybO-K06282	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS# PGPT
54	PGPT0000220	PGPT0000220-hupC|hyaC-K03620	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
55	PGPT0000225	PGPT0000225-hupU-K23548	Rhizobium leguminosarum Norway,Bradyrhizobium diazoefficiens USDA 110	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
56	PGPT0000230	PGPT0000230-hupV|hupK-K23549	Rhizobium leguminosarum Norway,Bradyrhizobium diazoefficiens USDA 110	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
57	PGPT0000235	PGPT0000235-hyaD|hybD|hupD-K03605	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
58	PGPT0000240	PGPT0000240-hypA|hybF-K04651	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
59	PGPT0000245	PGPT0000245-hypB|hupJ-K04652	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
60	PGPT0000250	PGPT0000250-hypC|hupF-K04653	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
61	PGPT0000255	PGPT0000255-hypD-K04654	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
62	PGPT0000260	PGPT0000260-hypE-K04655	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
63	PGPT0000265	PGPT0000265-hypF-K04656	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
64	PGPT0000270	PGPT0000270-hupR|hoxA-K19641	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
65	PGPT0000275	PGPT0000275-hupT|hoxJ-K19661	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-HYDROGENASE_BIOSYNTHESIS
66	PGPT0000280	PGPT0000280-narB-K00367	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
67	PGPT0000285	PGPT0000285-narG|narZ|nxrA-K00370	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
68	PGPT0000290	PGPT0000290-nfrA1|ywcG-K19285	Search me on PLaBA-db (KEGG hit)	5	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
69	PGPT0000295	PGPT0000295-nfrA2|ycnD-K19286	Search me on PLaBA-db (KEGG hit)	6	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
70	PGPT0000300	PGPT0000300-narK|nrtP|nrt|narU-K02575	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
71	PGPT0000305	PGPT0000305-narX-K07673	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
72	PGPT0000310	PGPT0000310-napA-K02567	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
73	PGPT0000315	PGPT0000315-napB-K02568	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
74	PGPT0000320	PGPT0000320-napC-K02569	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
75	PGPT0000325	PGPT0000325-napD-K02570	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
76	PGPT0000330	PGPT0000330-napE-K02571	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
77	PGPT0000335	PGPT0000335-napF-K02572	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
78	PGPT0000340	PGPT0000340-napG-K02573	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
79	PGPT0000345	PGPT0000345-napH-K02574	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
80	PGPT0000350	PGPT0000350-norB-K04561	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
81	PGPT0000355	PGPT0000355-norC-K02305	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
82	PGPT0000360	PGPT0000360-norD-K02448	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
83	PGPT0000365	PGPT0000365-norF-K04747	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
84	PGPT0000370	PGPT0000370-norQ-K04748	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
85	PGPT0000375	PGPT0000375-norR-K12266	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
86	PGPT0000380	PGPT0000380-norV-K12264	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
87	PGPT0000385	PGPT0000385-norW-K12265	Search me on PLaBA-db (KEGG hit)	2	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
88	PGPT0000390	PGPT0000390-nasA|nasC|narB-K00372	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
89	PGPT0000395	PGPT0000395-nasB-K00360	Search me on PLaBA-db (KEGG hit)	3	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION# PGPT
90	PGPT0000400	PGPT0000400-nasR|nasT-K07183	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
91	PGPT0000405	PGPT0000405-nasS-K22067	Pseudomonas sp. UW4	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-DENITRIFICATION|NITRATE_USAGE	DENITRIFICATION-NITRATE_REDUCTION
