STRAIN	NCBI REFSEQ ID
Gordonia polyisoprenivorans herm_1 [RHIZ]	GCF_002257745.1
Gordonia rhizosphera NBRC 16068 [RHIZ]	GCF_000298195.1
Humibacillus xanthopallidus SLBN-155 [RHIZ|PSYMB|PGPB]	GCF_006716675.1
Cellulomonas sp. SLBN-39 [RHIZ|PSYMB|PGPB]	GCF_006715865.1
Phycicoccus sp. Root101 [RHIZ]	GCF_001426245.1
Phycicoccus sp. Root563 [RHIZ]	GCF_001427915.1
Terrabacter sp. SLBN-196 [RHIZ|PSYMB|PGPB]	GCF_006715875.1
Terrabacter sp. Root181 [RHIZ]	GCF_001428505.1
Terrabacter sp. Root85 [RHIZ]	GCF_001429185.1
Phytoactinopolyspora endophytica EGI 60009 [RHIZ]	GCF_004138495.1
Angustibacter sp. Root456 [RHIZ]	GCF_001426435.1
Agromyces sp. SLBN-50 [RHIZ|PSYMB|PGPB]	GCF_006715355.1
Agromyces sp. Root1464 [RHIZ]	GCF_001427265.1
Agromyces sp. Root81 [RHIZ]	GCF_001429165.1
Conyzicola lurida DSM 105784 [RHIZ]	GCF_014204935.1
Curtobacterium pusillum AA3 [RHIZ]	GCF_002025645.1
Herbiconiux sp. YR403 [RHIZ]	GCF_000799285.1
Homoserinibacter sp. GY 40078 [RHIZ]	GCF_008017545.1
Leifsonia sp. Root112D2 [RHIZ]	GCF_001424905.1
Leifsonia sp. Root1293 [RHIZ]	GCF_001425325.1
Leifsonia sp. Root227 [RHIZ]	GCF_001428745.1
Leifsonia sp. Root4 [RHIZ]	GCF_001425085.1
Leifsonia sp. Root60 [RHIZ]	GCF_001427485.1
Leifsonia xyli xyli gdw1 [RHIZ]	GCF_001708285.1
Lysinimonas sp. SLBN-160 [RHIZ]	GCF_013408285.1
Microbacterium endophyticum DSM 27099 [RHIZ]	GCF_014191465.1
Microbacterium azadirachtae CL89 [RHIZ]	
Microbacterium sp. CF335 [RHIZ]	GCF_000799385.1
Microbacterium sp. SLBN-154 [RHIZ|PSYMB|PGPB]	GCF_006715565.1
Microbacterium sp. SLBN-158 [RHIZ|PSYMB|PGPB]	GCF_006715675.1
Microbacterium sp. SLBN-146 [RHIZ|PSYMB|PGPB]	GCF_006715145.1
Microbacterium sp. Root1433D1 [RHIZ]	GCF_001426835.1
Microbacterium sp. Root166 [RHIZ]	GCF_001427145.1
Microbacterium sp. Root180 [RHIZ]	GCF_001428485.1
Microbacterium sp. Root280D1 [RHIZ]	GCF_001428975.1
Microbacterium sp. Root322 [RHIZ]	GCF_001425645.1
Microbacterium sp. Root53 [RHIZ]	GCF_001426925.1
Microbacterium sp. Root553 [RHIZ]	GCF_001426995.1
Microbacterium sp. Root61 [RHIZ]	GCF_001427525.1
Microbacterium sp. SAI-030 [RHIZ|PSYMB|PGPB]	GCF_009858275.1
Microbacterium sp. SMR1 [RHIZ]	GCF_003289625.1
Pseudoclavibacter endophyticus EGI 60007 [RHIZ]	GCF_008831085.1
Microbacterium sp. CL22 [RHIZ]	not_announced
Microbacterium sp. WCS2014-259 [RHIZ]	not_announced
Yonghaparkia sp. Root332 [RHIZ]	GCF_001425665.1
Arthrobacter sp. SLBN-179 [RHIZ|PSYMB|PGPB]	GCF_006715715.1
Arthrobacter sp. SLBN-100 [RHIZ]	GCF_006715305.1
Arthrobacter sp. SLBN-83 [RHIZ|PSYMB|PGPB]	GCF_006715285.1
Arthrobacter sp. SLBN-112 [RHIZ|PSYMB|PGPB]	GCF_006715225.1
Arthrobacter sp. SLBN-122 [RHIZ|PSYMB|PGPB]	GCF_006715165.1
Phycicoccus sp. SLBN-51 [RHIZ|PSYMB|PGPB]	GCF_006715255.1
Glutamicibacter halophytocola KLBMP5180 [RHIZ]	GCF_001302565.1
Kocuria sp. OV113 [RHIZ]	GCF_003664065.1
Micrococcus endophyticus DSM 17945 [RHIZ]	GCF_014205115.1
Micrococcus yunnanensis DSM 21948 [RHIZ]	GCF_014138885.1
Arthrobacter sp. CL63Tsu [RHIZ]	not_announced
Isoptericola variabilis JZ7 [RHIZ|PSYMB|PGPB]	GCF_001750215.1
Cellulosimicrobium cellulans JZ5 [RHIZ|PSYMB|PGPB]	GCF_001722485.1
Micromonospora avicenniae DSM 45758 [RHIZ]	GCF_900156065.1
Micromonospora chokoriensis NRRL B-24750 [RHIZ]	GCF_000718555.1
Micromonospora coriariae DSM 44875 [RHIZ|PSYMB]	GCF_900091455.1
Micromonospora endophytica DSM 45430 [RHIZ]	GCF_003236305.1
Micromonospora endophytica JCM 18317 [RHIZ]	GCF_003581605.1
Micromonospora globbae WPS1-2 [RHIZ]	GCF_003610785.1
Micromonospora musae MS1-9 [RHIZ]	GCF_003626635.1
Micromonospora musae NGC1-4 [RHIZ]	GCF_003626545.1
Micromonospora pisi DSM 45175 [RHIZ|PSYMB]	GCF_003633685.1
Jishengella sp. AZ1-13 [RHIZ]	GCF_003583405.1
Micromonospora saelicesensis DSM 44871 [RHIZ|PSYMB]	GCF_900091575.1
Micromonospora sp. L5 [RHIZ]	GCF_000177655.2
Micromonospora sp. MH33 [RHIZ]	GCF_003013775.1
Micromonospora sp. RP3T [RHIZ]	GCF_003027925.1
Micromonospora taraxaci DSM 45885 [RHIZ]	GCF_007830095.1
Micromonospora violae DSM 45888 [RHIZ]	GCF_004217135.1
Micromonospora zingiberis PLAI 1-1 [RHIZ]	GCF_004331455.1
Phytomonospora endophytica DSM 45386 [RHIZ]	GCF_014202425.1
Arthrobacter sp. SLBN-53 [RHIZ|PSYMB|PGPB]	GCF_006715295.1
Mycobacterium sp. OK887 [RHIZ]	GCF_004368625.1
Mycobacterium sp. OK889 [RHIZ]	GCF_004363795.1
Mycobacterium sp. Root135 [RHIZ]	GCF_001426545.1
Mycobacterium sp. Root265 [RHIZ]	GCF_001428895.1
Mycobacterium sp. YR708 [RHIZ]	GCF_004345925.1
Mycobacterium sp. YR782 [RHIZ]	GCF_003053865.1
Mycolicibacterium obuense SEMIA 442 [RHIZ|PSYMB]	GCF_014194265.1
Nocardia sp. Root136 [RHIZ]	GCF_001427185.1
Mycobacterium sp. 501AMF [RHIZ]	not_announced
Rhodococcus erythropolis 339MFSha3.1 [RHIZ]	not_announced
Rhodococcus maanshanensis 259MFSha1.1 [RHIZ]	not_announced
Rhodococcus sp. OK269 [RHIZ]	GCF_003386655.1
Rhodococcus sp. OK519 [RHIZ]	GCF_003051005.1
Rhodococcus sp. OK551 [RHIZ]	GCF_003387295.1
Rhodococcus sp. OK611 [RHIZ]	GCF_003050885.1
Rhodococcus sp. PBTS1 [RHIZ|PPATH]	GCF_001620025.1
Rhodococcus sp. PBTS2 [RHIZ|PPATH]	GCF_001620005.1
Aeromicrobium sp. Root236 [RHIZ]	GCF_001428805.1
Aeromicrobium sp. Root344 [RHIZ]	GCF_001425755.1
Aeromicrobium sp. Root472D3 [RHIZ]	GCF_001426485.1
Aeromicrobium sp. Root495 [RHIZ]	GCF_001426755.1
Nocardioides perillae DSM 24552 [RHIZ]	GCF_013409425.1
Nocardioides sp. CF167 [RHIZ]	GCF_003054165.1
Nocardioides sp. CF479 [RHIZ]	GCF_003633575.1
Nocardioides sp. SLBN-172 [RHIZ|PSYMB|PGPB]	GCF_006715515.1
Pseudomonas sp. SLBN-26 [RHIZ|PSYMB|PGPB]	GCF_006715895.1
Nocardioides sp. Root122 [RHIZ]	GCF_001425025.1
Nocardioides sp. Root1257 [RHIZ]	GCF_001425175.1
Nocardioides sp. Root140 [RHIZ]	GCF_001426745.1
Nocardioides sp. Root151 [RHIZ]	GCF_001427925.1
Nocardioides sp. Root190 [RHIZ]	GCF_001428565.1
Nocardioides sp. Root224 [RHIZ]	GCF_001428725.1
Nocardioides sp. Root240 [RHIZ]	GCF_001428825.1
Nocardioides sp. Root614 [RHIZ]	GCF_001427545.1
Nocardioides luteus SAI-037 [RHIZ]	GCF_015752315.1
Nocardioides sp. Root682 [RHIZ]	GCF_001427795.1
Nocardioides sp. Root79 [RHIZ]	GCF_001428765.1
Nocardioides sp. SLBN-169 [RHIZ|PSYMB|PGPB]	GCF_006715835.1
Nocardioides sp. SAI-095 [RHIZ|PSYMB|PGPB]	GCF_009858265.1
Nocardioides ferulae EGI 63112 [RHIZ]	GCF_003660455.1
Actinorugispora endophytica DSM 46770 [RHIZ]	GCF_004363075.1
Promicromonospora sp. AC04 [RHIZ]	GCF_003058225.1
Promicromonospora sp. SLBN-65 [RHIZ|PSYMB|PGPB]	GCF_006715385.1
Promicromonospora sp. CF082 [RHIZ]	GCF_004341335.1
Promicromonospora sp. YR516 [RHIZ]	GCF_003664225.1
Promicromonospora sukumoe SAI-064 [RHIZ|PSYMB|PGPB]	GCF_003096495.1
Promicromonospora thailandica SAI-039 [RHIZ|PSYMB|PGPB]	GCF_003550025.1
Actinokineospora sp. TRM65233 [RHIZ]	GCF_009745975.1
Actinophytocola oryzae DSM 45499 [RHIZ]	GCF_004364325.1
Amycolatopsis anabasis EGI 650086 [RHIZ]	GCF_009765355.1
Amycolatopsis suaedae 8-3EHSu [RHIZ]	GCF_004214935.1
Prauserella sp. Am3 [RHIZ|PSYMB]	GCA_000814645.1
Pseudonocardia acaciae DSM 45401 [RHIZ]	GCF_000620785.1
Pseudonocardia alni DSM 44104 [RHIZ|PSYMB]	GCA_002813375.1
Pseudonocardia eucalypti DSM 45351 [RHIZ]	GCF_014208095.1
Pseudonocardia kunmingensis DSM 45301 [RHIZ]	GCF_006716445.1
Tamaricihabitans halophyticus DSM 45765 [RHIZ]	GCF_004340875.1
Allostreptomyces psammosilenae DSM 42178 [RHIZ]	GCF_013407765.1
Paenarthrobacter nicotinovorans 254MFSha2.1 [RHIZ]	not_announced
Kitasatospora arboriphila NRRL B-24581 [RHIZ]	GCF_000717275.1
Kitasatospora sp. Root107 [RHIZ]	GCF_001424875.1
Kitasatospora sp. Root187 [RHIZ]	GCF_001429805.1
Streptomyces atratus OK008 [RHIZ]	GCF_000745675.1
Streptomyces atratus OK807 [RHIZ]	GCF_900119365.1
Streptomyces griseorubiginosus SAI-142 [RHIZ|PSYMB|PGPB]	GCF_003752655.1
Streptomyces griseorubiginosus 3E-1 [RHIZ]	GCF_003595235.1
Streptomyces mirabilis OV308 [RHIZ]	GCF_000745715.1
Streptomyces mirabilis YR139 [RHIZ]	GCF_000746395.1
Streptomyces mirabilis OK461 [RHIZ]	GCF_900112965.1
Streptomyces ossamyceticus SAI-001 [RHIZ|PSYMB|PGPB]	GCF_003752045.1
Streptomyces scabiei SAI-025 [RHIZ]	GCF_014203845.1
Streptomyces sp. SLBN-109 [RHIZ|PSYMB|PGPB]	GCF_006715605.1
Streptomyces sp. SLBN-192 [RHIZ|PSYMB|PGPB]	GCF_006715825.1
Streptomyces sp. AcE210 [RHIZ|PSYMB]	GCF_003403055.1
Streptomyces sp. SLBN-118 [RHIZ|PSYMB|PGPB]	GCF_006715635.1
Streptomyces sp. AZ1-7 [RHIZ]	GCF_003626585.1
Streptomyces sp. DS1-2 [RHIZ]	GCF_003626575.1
Streptomyces sp. SAI-083 [RHIZ|PSYMB|PGPB]	GCF_003751175.1
Achromobacter sp. SLBN-14 [RHIZ]	GCF_006715415.1
Streptomyces sp. SLBN-134 [RHIZ|PSYMB|PGPB]	GCF_006715925.1
Streptomyces sp. SLBN-115 [RHIZ|PSYMB|PGPB]	GCF_006715185.1
Streptomyces sp. Root1295 [RHIZ]	GCF_001426325.1
Streptomyces sp. Root1304 [RHIZ]	GCF_001426405.1
Streptomyces sp. Root1310 [RHIZ]	GCF_001426425.1
Streptomyces sp. Root1319 [RHIZ]	GCF_001426615.1
Streptomyces sp. Root264 [RHIZ]	GCF_001428885.1
Streptomyces sp. Root369 [RHIZ]	GCF_001425805.1
Streptomyces sp. Root431 [RHIZ]	GCF_001426585.1
Streptomyces sp. Root55 [RHIZ]	GCF_001427245.1
Streptomyces sp. Root63 [RHIZ]	GCF_001427565.1
Streptomyces sp. Root66D1 [RHIZ]	GCF_001427745.1
Streptomyces sp. RP5T [RHIZ]	GCF_003933965.1
Streptomyces sp. SAI-097 [RHIZ|PSYMB|PGPB]	GCF_003814525.1
Microbispora catharanthi CR1-09 [RHIZ]	GCF_006334915.2
Microbispora sp. NRRL B-24597 [RHIZ]	GCA_000718545.1
Microbispora tritici MT50 [RHIZ]	GCF_008085995.1
Microbispora triticiradicis NEAU-HRDPA2-9 [RHIZ]	GCA_003260025.2
Nonomuraea phyllanthi PA1-10 [RHIZ]	GCF_006334985.2
Nonomuraea sp. PA05 [RHIZ]	GCF_008086045.1
Chitinophaga pinensis 1204 [RHIZ]	GCF_007994035.1
Chitinophaga polysaccharea 1209 [RHIZ]	GCF_007829335.1
Chitinophaga sancti 1232 [RHIZ]	GCF_014190745.1
Chitinophaga sp. 1310 [RHIZ]	GCF_012516355.1
Chitinophaga agri H33E-04 [RHIZ]	GCF_010093065.1
Filimonas endophytica 3197 [RHIZ]	GCF_007994055.1
Niastella sp. CF465 [RHIZ]	GCF_004341975.1
Algoriphagus kandeliae XY-J91 [RHIZ]	GCF_004571135.1
Hymenobacter sp. YR204 [RHIZ]	GCF_003634355.1
Croceivirga radicis HSG9 [RHIZ]	GCF_002072105.2
Flavobacterium endophyticum DSM 29537 [RHIZ]	GCF_003634455.1
Flavobacterium gossypii DSM 100397 [RHIZ]	GCF_014138495.1
Flavobacterium johnsoniae GSE09 [RHIZ]	GCF_001705175.1
Flavobacterium sp. GV028 [RHIZ]	GCF_003386855.1
Flavobacterium sp. GV029 [RHIZ]	GCF_003688345.1
Flavobacterium sp. GV030 [RHIZ]	GCF_003208535.1
Flavobacterium sp. GV063 [RHIZ]	GCF_004341805.1
Flavobacterium sp. GV069 [RHIZ]	GCF_003217415.1
Flavobacterium sp. Root186 [RHIZ]	GCF_001428525.1
Flavobacterium sp. Root420 [RHIZ]	GCF_001427905.1
Flavobacterium sp. Root901 [RHIZ]	GCF_001429765.1
Flavobacterium sp. Root935 [RHIZ]	GCF_001429295.1
Flavobacterium sp. S87F.05.LMB.W.Kidney.N [RHIZ]	GCF_004366435.1
Chryseobacterium cucumeris GSE06 [RHIZ]	GCF_001593385.1
Chryseobacterium indologenes AA5 [RHIZ]	GCF_002025665.1
Chryseobacterium kwangjuense KJ1R5 [RHIZ]	GCF_001563495.1
Chryseobacterium soldanellicola DSM 17072 [RHIZ]	GCF_900100115.1
Chryseobacterium sp. CF284 [RHIZ]	GCF_000746315.1
Chryseobacterium sp. CF299 [RHIZ]	GCF_000744495.1
Chryseobacterium sp. CF356 [RHIZ]	GCF_000799515.1
Chryseobacterium sp. CF365 [RHIZ]	GCF_000745535.1
Chryseobacterium sp. KLBC 52 [RHIZ|PSYMB]	GCF_003347605.1
Chryseobacterium sp. OV259 [RHIZ]	GCF_000745795.1
Chryseobacterium sp. OV279 [RHIZ]	GCF_900128945.1
Chryseobacterium sp. OV705 [RHIZ]	GCF_000799645.1
Chryseobacterium sp. OV715 [RHIZ]	GCF_000800075.1
Chryseobacterium sp. YR005 [RHIZ]	GCF_000799255.1
Chryseobacterium sp. YR203 [RHIZ]	GCF_900129105.1
Chryseobacterium sp. YR221 [RHIZ]	GCF_900176315.1
Chryseobacterium sp. YR459 [RHIZ]	GCF_000799235.1
Chryseobacterium sp. YR460 [RHIZ]	GCF_000799195.1
Chryseobacterium sp. YR477 [RHIZ]	GCF_000799375.1
Chryseobacterium sp. YR480 [RHIZ]	GCF_000799325.1
Chryseobacterium sp. YR485 [RHIZ]	GCF_000799335.1
Chryseobacterium sp. YR561 [RHIZ]	GCF_000799455.1
Chryseobacterium taeanense DSM 17071 [RHIZ]	GCF_900099685.1
Elizabethkingia sp. YR191 [RHIZ]	GCF_003053575.1
Elizabethkingia sp. YR214 [RHIZ]	GCF_003058195.1
Chryseobacterium sp. 312AMFChir4.1 [RHIZ]	not_announced
Pedobacter sp. CF074 [RHIZ]	GCF_004342125.1
Pedobacter sp. CF523 [RHIZ]	GCF_003688475.1
Pedobacter sp. OK291 [RHIZ]	GCF_003054145.1
Pedobacter sp. OK628 [RHIZ]	GCF_004340745.1
Pedobacter sp. OK701 [RHIZ]	GCF_004364225.1
Pedobacter sp. YR016 [RHIZ]	GCF_003054115.1
Pedobacter sp. YR510 [RHIZ]	GCF_003387385.1
Pedobacter terrae 518 [RHIZ]	GCF_007994015.1
Pedobacter zeae DSM 100774 [RHIZ]	GCF_014196715.1
Sphingobacterium yanglingense DSM 28353 [RHIZ|PSYMB]	GCF_004363245.1
Nostoc sp. 106C [RHIZ]	GCF_002154725.1
Nostoc sp. PA-18-2419 JC1668 [RHIZ]	GCF_005869855.1
Nostoc sp. RF31YmG [RHIZ]	GCF_002155185.1
Nostoc sp. T09 [RHIZ]	GCF_002154695.1
Deinococcus ficus CC-FR2-10 [RHIZ]	GCF_003444775.1
Brevibacterium frigoritolerans 3612 [RHIZ]	GCF_007828935.1
Nostoc punctiforme PCC 73102 [RHIZ]	not_announced
Bacillus amyloliquefaciens Bs006 [RHIZ|PSYMB|PGPB]	GCF_001278635.1
Bacillus filamentosus HL2HP6 [RHIZ]	GCA_002946475.1
Bacillus pseudomycoides AFS022719 [RHIZ]	GCF_002557385.1
Bacillus pseudomycoides AFS000230 [RHIZ]	GCF_002556235.1
Bacillus mycoides GOE1 [RHIZ]	not_announced
Bacillus mycoides GOE3 [RHIZ]	not_announced
Bacillus mycoides GOE2 [RHIZ]	not_announced
Bacillus mycoides GOE4 [RHIZ]	not_announced
Bacillus mycoides GOE6 [RHIZ]	not_announced
Bacillus mycoides GOE7 [RHIZ]	not_announced
Bacillus mycoides GOE8 [RHIZ]	not_announced
Bacillus mycoides GOE9 [RHIZ]	not_announced
Bacillus mycoides GOE10 [RHIZ]	not_announced
Bacillus mycoides GOE11 [RHIZ]	not_announced
Bacillus mycoides GOE12 [RHIZ]	not_announced
Bacillus mycoides GOE13 [RHIZ]	not_announced
Bacillus mycoides GOE5 [RHIZ]	not_announced
Bacillus pseudomycoides AFS040159 [RHIZ]	GCF_002582165.1
Bacillus pseudomycoides AFS054612 [RHIZ]	GCF_002579385.1
Bacillus pseudomycoides AFS035137 [RHIZ]	GCF_002589505.1
Bacillus pseudomycoides AFS081374 [RHIZ]	GCF_002568765.1
Bacillus safensis VK [RHIZ]	GCF_000444215.1
Bacillus sp. AFS017274 [RHIZ]	GCF_002561875.1
Bacillus sp. AFS031507 [RHIZ]	GCF_002584635.1
Bacillus sp. AFS040349 [RHIZ]	GCF_002577655.1
Bacillus sp. AFS041924 [RHIZ]	GCF_002577195.1
Bacillus sp. AFS055030 [RHIZ]	GCF_002574545.1
Bacillus sp. AFS077874 [RHIZ]	GCF_002566505.1
Microbacterium sp. SLBN-1 [RHIZ|PSYMB|PGPB]	GCF_007828185.1
Bacillus sp. SLBN-174 [RHIZ|PSYMB|PGPB]	GCF_006715705.1
Bacillus sp. OK077 [RHIZ]	GCF_004346405.1
Bacillus sp. OK085 [RHIZ]	GCF_004341175.1
Bacillus sp. OV186 [RHIZ]	GCF_003053645.1
Bacillus sp. OV752 [RHIZ]	GCF_003053785.1
Bacillus sp. Root11 [RHIZ]	GCF_001429465.1
Bacillus sp. Root131 [RHIZ]	GCF_001429475.1
Bacillus sp. Root147 [RHIZ]	GCF_001429365.1
Bacillus sp. Root239 [RHIZ]	GCF_001429385.1
Bacillus sp. Root920 [RHIZ]	GCF_001429445.1
Bacillus sp. UNCCL81 [RHIZ]	GCF_900112535.1
Bacillus sp. WR11 [RHIZ|PSYMB|PGPB]	GCF_004103875.1
Bacillus sp. YR335 [RHIZ]	GCF_003259415.1
Bacillus thuringiensis KNU-07 [RHIZ]	GCF_001692675.1
Bacillus thuringiensis 1230 [RHIZ]	GCF_007829295.1
Bacillus thuringiensis GOE1 [RHIZ]	not_announced
Bacillus thuringiensis GOE2 [RHIZ]	not_announced
Bacillus thuringiensis GOE3 [RHIZ]	not_announced
Bacillus thuringiensis GOE4 [RHIZ]	not_announced
Bacillus thuringiensis GOE06 [RHIZ]	not_announced
Bacillus thuringiensis GOE5 [RHIZ]	not_announced
Bacillus toyonensis AFS061925 [RHIZ]	GCF_002572415.1
Bacillus toyonensis AFS034699 [RHIZ]	GCF_002588695.1
Bacillus toyonensis AFS036256 [RHIZ]	GCF_002585395.1
Bacillus toyonensis AFS023984 [RHIZ]	GCF_002557225.1
Bacillus toyonensis AFS093377 [RHIZ]	GCF_002550725.1
Bacillus toyonensis AFS089607 [RHIZ]	GCF_002553375.1
Bacillus toyonensis AFS091268 [RHIZ]	GCF_002553325.1
Bacillus toyonensis AFS036089 [RHIZ]	GCF_002582715.1
Bacillus toyonensis AFS081381 [RHIZ]	GCF_002568745.1
Bacillus toyonensis AFS095385 [RHIZ]	GCF_002550525.1
Bacillus toyonensis AFS097065 [RHIZ]	GCF_002552055.1
Bacillus toyonensis AFS027027 [RHIZ]	GCF_002556955.1
Bacillus toyonensis AFS072190 [RHIZ]	GCF_002570155.1
Bacillus toyonensis AFS072832 [RHIZ]	GCF_002570105.1
Bacillus toyonensis AFS044634 [RHIZ]	GCF_002580975.1
Bacillus toyonensis AFS065389 [RHIZ]	GCF_002572035.1
Bacillus toyonensis AFS006079 [RHIZ]	GCF_002555905.1
Bacillus toyonensis AFS091569 [RHIZ]	GCF_002552675.1
Bacillus toyonensis AFS093065 [RHIZ]	GCF_002552545.1
Bacillus toyonensis AFS098702 [RHIZ]	GCF_002552975.1
Bacillus toyonensis AFS083176 [RHIZ]	GCF_002569445.1
Bacillus toyonensis AFS053584 [RHIZ]	GCF_002579895.1
Bacillus toyonensis AFS096476 [RHIZ]	GCF_002552125.1
Bacillus toyonensis AFS088186 [RHIZ]	GCF_002569325.1
Bacillus toyonensis AFS075404 [RHIZ]	GCF_002569835.1
Bacillus toyonensis AFS089650 [RHIZ]	GCF_002551565.1
Lysinibacillus endophyticus DSM 100506 [RHIZ]	GCF_003628435.1
Lysinibacillus fusiformis 3193 [RHIZ]	GCF_006789605.1
Leuconostoc mesenteroides YL48 [RHIZ]	GCF_002886025.1
Bacillus sp. 212MF [RHIZ]	not_announced
Bacillus sp. 215MF [RHIZ]	not_announced
Paenibacillus chondroitinus OK414 [RHIZ]	GCF_000799595.1
Paenibacillus durus P3L-5 [RHIZ]	GCF_000520635.1
Paenibacillus durus ATCC 35681 [RHIZ]	GCF_000993825.1
Paenibacillus illinoisensis 582 [RHIZ]	GCF_014190735.1
Paenibacillus kribbensis 6hRe76 [RHIZ]	GCF_001705305.1
Paenibacillus naphthalenovorans PR-N1 [RHIZ]	GCF_900099895.1
Paenibacillus odorifer DSM 15391 [RHIZ]	GCF_000758725.1
Paenibacillus polymyxa HY96-2 [RHIZ]	GCF_002893885.1
Paenibacillus sp. 597 [RHIZ]	GCF_007829615.1
Paenibacillus sp. Root444D2 [RHIZ]	GCF_001426375.1
Paenibacillus sp. Root52 [RHIZ]	GCF_001426865.1
Paenibacillus sp. UNCCL117 [RHIZ]	GCF_900119055.1
Paenibacillus sp. 445MF [RHIZ]	not_announced
Paenisporosarcina sp. OV554 [RHIZ]	GCF_003058165.1
Paenibacillus sp. CL06Col [RHIZ]	not_announced
Paenibacillus sp. CL91 [RHIZ]	not_announced
Paenibacillus sp. CL97 [RHIZ]	not_announced
Baia soyae DSM 46831 [RHIZ]	GCF_004341445.1
Exiguobacterium sp. RIT594 [RHIZ]	GCF_003339585.1
Aurantimonas endophytica DSM 103570 [RHIZ]	GCF_014196845.1
Aureimonas sp. YIM DR1026 [RHIZ]	GCF_009176975.1
Jiella endophytica CBS5Q-3 [RHIZ]	GCF_004519335.1
Martelella sp. BGMRC2036 [RHIZ]	GCF_006516955.1
Afipia sp. Root123D2 [RHIZ]	GCF_001425835.1
Bosea lathyri DSM 26656 [RHIZ|PSYMB]	GCF_900108245.1
Bosea robiniae DSM 26672 [RHIZ|PSYMB]	GCF_900102525.1
Bosea sp. RCAM04680 [RHIZ|PSYMB]	GCF_003351345.1
Bosea sp. RCAM04685 [RHIZ|PSYMB]	GCF_003351325.1
Bosea sp. Root381 [RHIZ]	GCF_001429395.1
Bosea sp. Root483D1 [RHIZ]	GCF_001429505.1
Bosea sp. Root670 [RHIZ]	GCF_001429415.1
Bosea sp. Tri-39 [RHIZ|PSYMB]	GCF_004123815.1
Bosea sp. Tri-44 [RHIZ|PSYMB]	GCF_004123845.1
Bosea sp. Tri-49 [RHIZ|PSYMB]	GCF_003952665.1
Bosea sp. Tri-54 [RHIZ|PSYMB]	GCF_004123895.1
Bosea vestrisii 3192 [RHIZ]	GCF_006717005.1
Bradyrhizobium amphicarpaeae 39S1MB [RHIZ|PSYMB]	GCF_002266435.2
Bradyrhizobium algeriense RST91 [RHIZ|PSYMB]	GCF_003062295.1
Bradyrhizobium betae Opo-243 [RHIZ|PSYMB]	GCF_004123905.1
Bradyrhizobium canariense UBMA181 [RHIZ|PSYMB]	GCF_002108965.1
Bradyrhizobium canariense UBMA122 [RHIZ|PSYMB]	GCF_002108825.1
Bradyrhizobium centrolobii BR 10245 [RHIZ|PSYMB]	GCF_001641635.1
Bradyrhizobium canariense UBMA192 [RHIZ|PSYMB]	GCF_002108865.1
Bradyrhizobium canariense UBMA195 [RHIZ|PSYMB]	GCF_002108775.1
Bradyrhizobium canariense UBMA171 [RHIZ|PSYMB]	GCF_002108995.1
Bradyrhizobium canariense UBMA052 [RHIZ|PSYMB]	GCF_002108745.1
Bradyrhizobium canariense UBMA061 [RHIZ|PSYMB]	GCF_002108755.1
Bradyrhizobium cosmicum 58S1 [RHIZ|PSYMB]	GCF_007290395.1
Bradyrhizobium diazoefficiens Y21 [RHIZ|PSYMB]	GCF_002531995.1
Bradyrhizobium centrosematis SEMIA 424 [RHIZ|PSYMB]	not_announced
